,Schaefer400_17,SA_1,myelin,CorrThickness,evo_expansion,evo_expansion_hill,alloscale,cbf,brain_pc1,GABRA3,GRIN2B,PVALB,SST
276,276,-4.553144931793213,1.3202344179153442,0.014805490151047707,5.9342862788368675,1.515313834828489,1.2019276566365187,58.40471665999468,0.276050143820398,-0.6284884350264773,0.1832557158982929,0.37640887170153503,-0.7382791809299413
277,277,-4.407529830932617,1.3554868698120117,0.01186730619519949,9.91381638688468,1.3521274790737798,1.1249314048251167,57.51160147411576,0.3519682258856101,-0.6436823586948582,-0.04910894414114822,0.47979777986234656,-0.8060182821555216
278,278,-2.339207172393799,1.2440400123596191,0.01855311542749405,14.70844499860491,-0.07689609888408865,1.068282572541918,56.784958147321426,0.3408032766410283,-0.48281018776020834,-0.8504225855214255,0.36190884607178825,-0.24536964306873935
279,279,-4.311524391174316,1.288125991821289,0.009348725900053978,10.129278835343436,0.5391620483043735,1.046720990739717,53.278208633142015,0.3675093585910973,-0.27776696235855663,-0.3520503186283667,0.5859703257040012,-0.9902769989031224
280,280,-4.530905723571777,1.260563611984253,0.014810057356953621,7.060919492202397,-0.2515754202386287,1.0656932627660989,50.613294827162164,0.2525649896034828,-0.07890560449315952,-0.27586920709299617,0.46066382915310605,-0.42899221019852446
281,281,-2.857267141342163,1.3648911714553833,0.02051614597439766,21.12282803853353,0.9091820226671795,0.903591705693139,68.0855340745714,0.35174857858154507,0.4359583165910509,-0.5258409164018101,0.806894012623363,-0.35062206851111516
282,282,-2.2661855220794678,1.3266174793243408,0.017037993296980858,31.658245606855914,1.1858011292031974,1.0088134728187372,64.96727705395911,0.13851813971996307,0.5804898738861084,-0.23887334764003754,0.4938114583492279,-0.40275633335113525
283,283,-3.6168150901794434,1.2856086492538452,0.011378077790141106,23.63833310980546,0.36719300660647847,1.0161353381056535,59.797853771008946,0.1267097178258394,0.6280221274024562,-0.4099621051236203,0.509357970639279,-0.4472378106493699
284,284,-2.9171817302703857,1.3151686191558838,0.01806039921939373,23.98932369425893,0.9992049552965909,1.0243684954475611,63.69381143152714,0.31618932384299114,-0.551721429976169,-0.5337687159189954,0.29464343283325434,-0.6959885032847524
285,285,-3.0956616401672363,1.279882550239563,0.014996000565588474,11.15736877704095,0.9819571743468325,1.1472723473331885,62.28426840776455,0.290393564158571,-0.05616302315346495,-0.08236616635750868,0.2898910000117239,-0.36721189275473176
286,286,-1.6622159481048584,1.2239971160888672,0.01375088095664978,24.414898463364306,1.633728006276591,1.1220765514620419,63.75670671463013,0.14048448731673174,-0.18040699543881006,-0.2343277586945172,0.14765177519413933,-0.5795051309055296
287,287,-1.5696680545806885,1.302978754043579,0.01711530238389969,15.38346185115789,0.37250165019295367,0.9735965476130808,74.5209882622523,0.27584030040052554,0.5851035368758322,-0.05668669633431644,0.7431103555571954,-0.017009243467785665
288,288,-2.1500816345214844,1.1497448682785034,0.12726575136184692,6.758429108903958,-0.05106830122307516,0.8921800072376544,52.74262741895822,-1.9374341311363072,1.436866418673442,1.240721365204081,-2.5480389073491096,1.757628250007446
289,289,-1.7571343183517456,1.1114847660064697,0.0798613578081131,9.228131845885633,0.4823954949045883,0.8920546016272377,64.3402608235677,-1.7789243284393759,1.4963250019971062,1.1424845597688473,-1.8183547924546635,1.9335152238023048
290,290,-2.778395414352417,1.2415871620178223,0.11460833251476288,9.17191870175107,0.6725990342181078,1.0883929223914421,61.05591717065941,-1.6798918091189798,1.4875729995248206,2.022790661657044,-2.1314207671200416,1.4026054830451287
291,291,-2.966167449951172,1.162324070930481,0.05455616116523743,14.165857173428677,0.6432935745999364,1.1379554377924097,63.20385406040909,-1.7667876918717187,1.466376749005648,1.4182861508930673,-1.7700745268623428,1.8633418118599618
292,292,-3.2036259174346924,1.2015914916992188,0.04314250871539116,10.294688419862227,0.4911207488236054,0.9885382025272815,54.33993572383732,-1.1730007784707206,1.3328760928147798,1.3881913030931314,-0.8167237964543429,1.400986119524225
293,293,-2.8417606353759766,1.2179726362228394,0.014899633824825287,10.504299898217194,0.17399532965853484,0.8197837611184503,71.00237070905031,-0.484137313997876,1.0721841495837607,1.1311066500625035,-0.012832777125992043,0.8724643892615381
294,294,0.02711770124733448,1.2294262647628784,0.014036020264029503,11.330863365390957,0.5374379255027579,0.9304307875217207,75.42319509006987,-0.060972349455692625,1.0343588480613375,0.5890289475053749,0.4006251894787654,0.5672085233182715
295,295,-3.7659528255462646,1.210599422454834,0.03253908082842827,10.491448733210564,1.1203188862651587,1.0012743845582008,57.90359778404236,-0.6905262533691712,1.484232959523797,0.32395901829004287,-0.5668588751927018,0.8035164380446076
296,296,-3.8340003490448,1.2832481861114502,0.033380862325429916,14.82691860574437,1.0095353314257043,0.9723405040155245,52.86731002086729,-0.14938020776575944,0.4481624575883176,-0.12586433868708574,-0.25518111825927975,0.16657375506176722
297,297,-1.0440212488174438,1.249442458152771,0.03609727323055267,29.386093008455145,0.41804322725403364,0.8667762411965264,57.89146831048229,-0.08743865969319822,-0.010574856912994403,0.5776662314064288,-0.4193724404882502,0.1332021841887759
298,298,-1.3431850671768188,1.256506323814392,0.014656632207334042,26.271042471533423,1.0913555788564253,1.082436818797309,57.14666414690447,-0.06145273848763994,0.7776019685977215,0.6326972533453692,0.2852496755821211,-0.15375210452187169
299,299,-3.2382800579071045,1.3041977882385254,0.02898709662258625,17.67343119461171,-0.00033263654369915273,0.9323426350189822,49.231936907246165,0.33144137491709996,-0.05984535999596119,-0.142636778145811,0.09916210631384467,0.09934135346952146
300,300,-4.402155876159668,1.3550013303756714,0.025112230330705643,15.639937795698643,0.3214054063828371,0.7898745625279844,46.28653112053871,0.4628400288056582,0.047986000012315344,-0.8317395877093077,0.40007631527259946,-0.09563701163278893
301,301,-3.57673978805542,1.3014518022537231,0.02402987703680992,14.674124442509243,0.7002497071879251,0.956449625492096,56.19982526506696,0.09217230637158666,0.6149047134603773,-0.0642447362627302,0.42030185341835025,-0.374126181602478
302,302,-1.2318063974380493,1.2166545391082764,0.018372656777501106,19.042797491285537,0.6391709923744202,1.04376995894644,57.20829043918186,-0.09561004820797178,0.9566169083118439,0.9283528725306193,0.35271530515617794,-0.18495110339588589
303,303,2.458468198776245,1.2422255277633667,0.012482764199376106,33.33023916814745,1.9500794453719228,1.039513927452343,66.36401217745751,0.21937383772786131,-0.4571609090744835,-0.10656356270012167,0.21375882118633113,-0.9235700184536964
304,304,-0.08982141315937042,1.247721552848816,0.009580668993294239,13.218645611324826,1.981443646791819,0.9801032580770888,72.4245397894232,0.08126191526382893,-0.31107876966665454,-0.37883989418949093,0.5407240240423529,0.617357431768297
305,305,1.9358408451080322,1.2238649129867554,0.008155174553394318,14.768509230830453,1.7252906574444338,1.1475605693730442,71.37828436764804,-0.07452856012704698,-0.048946186815473164,-0.44357539171522314,0.3766391172327779,0.5233874928248539
306,306,2.955286979675293,1.195551872253418,0.008236308582127094,9.8544497009085,0.9123447251920941,1.2369556046333634,70.26304908560104,-0.25635026533062716,0.03919917407656918,-0.26442003400385883,-0.007895113540296796,0.48333629396031885
307,307,-0.540973961353302,1.2108747959136963,0.007854878902435303,8.220642607332923,1.2388663822055412,1.3080990572678879,69.041321345738,-0.19834000641299832,-0.08976206925058144,-0.418166586056283,0.12914777303346292,0.43312334363705
308,308,2.4122180938720703,1.2147667407989502,0.0530485175549984,8.224858951568603,0.8808611781689627,0.8882637998153423,64.01383240798424,-1.0126942582171539,1.0293556913476565,0.222295539954613,-0.9421165717059168,1.5229440109483128
309,309,-0.579911470413208,1.2512973546981812,0.035046521574258804,9.226221439649732,0.9986527941638618,0.9463881327093934,64.24629966132075,-0.6089561479233152,0.3975829652396681,-0.016311875283182096,-0.3437779321730566,0.9095167989353482
310,310,2.1587448120117188,1.1633355617523193,0.023473231121897697,15.095107679656058,1.1938484838514618,1.0753676107435515,54.11695152051521,-1.215572877363725,1.0514953790288983,0.7842538710796472,-0.7560489351099188,1.1253140904686667
311,311,-1.7875173091888428,1.1876237392425537,0.041126277297735214,13.033407504885805,1.040776538147646,0.9961812405025258,57.06708807851754,-1.0138717102288615,1.5587961863068973,1.1200453499368592,-0.695633766931646,1.336407803437289
312,312,2.6254677772521973,1.2443594932556152,0.06809930503368378,13.923469813572877,-0.7211946320499298,0.8502022344942037,66.59420902053745,-1.406352819045844,1.1703155936533316,1.4277450170131087,-1.6602056550152728,1.5450311072299936
313,313,1.0648961067199707,1.2851835489273071,0.03748919442296028,17.83479030242819,-0.26337088239903483,0.9526066827458262,74.99354262699354,-0.752091714877956,0.6705742668921733,0.04398521494786471,-0.8376110622424953,1.3856374420077595
314,314,5.989589214324951,1.1743462085723877,0.03715043514966965,13.811315772177158,0.01420099263336381,0.7401300572800911,66.07923501113365,-1.213023449155106,1.008978197800702,1.2799927756704133,-1.1608943403109737,1.4460470539399948
315,315,3.5068459510803223,1.1954213380813599,0.02955876849591732,20.015223491893096,0.4311728433431948,0.8683926932951983,68.73041862039005,-0.6122762641485999,0.3914919808506966,0.3787935132160783,-0.5366098458276075,0.9249119337867288
316,316,4.629797458648682,1.3770846128463745,0.09742391854524612,9.262227529829199,-0.5559845905412327,0.8659606657244943,63.15746251019564,-1.5040415051308544,1.2051221484487706,1.3389625481583856,-1.7751228958368301,1.580622751604427
317,317,6.1946258544921875,1.1962924003601074,0.02038523182272911,12.401417363773692,0.550808260217309,0.9347185160626065,63.74081568284468,-1.0321286435831676,0.6583374254405499,1.0337434627793052,-0.5188727158714425,1.403520024635575
318,318,0.3012296259403229,1.1244285106658936,0.05036516115069389,10.506109250172248,0.3207755660758553,0.7498633880517009,2.980921574196857,-2.088961500353581,1.3819278599171156,2.127602096354024,-2.6629580750447532,1.1370296297448406
